,count,mean,std,min,25%,50%,75%,max
player_pieces,10130.0,0.09151036525172754,0.7668320443773217,0.0,0.0,0.0,0.0,12.0
ai_pieces,10130.0,0.07176702862783811,0.7607994565131213,0.0,0.0,0.0,0.0,12.0
empty_cells,10130.0,63.83672260612043,1.5107453735238032,40.0,64.0,64.0,64.0,64.0
material_diff,10130.0,0.019743336623889437,0.22658952095264817,-2.0,0.0,0.0,0.0,2.0
label,10130.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
