game_id,ply,side_to_move,score_ai,winner,predicted_winner
3,52,ai,1.0,player,ai
3,53,player,1.0,player,ai
3,54,ai,1.0,player,ai
3,55,player,1.0,player,ai
4,0,player,1.0,player,ai
4,1,ai,1.0,player,ai
4,2,player,1.0,player,ai
4,3,ai,1.0,player,ai
4,4,player,1.0,player,ai
4,5,ai,1.0,player,ai
4,6,player,1.0,player,ai
4,7,ai,1.0,player,ai
4,8,player,1.0,player,ai
4,9,ai,1.0,player,ai
4,10,player,1.0,player,ai
4,11,ai,1.0,player,ai
4,12,player,1.0,player,ai
4,13,ai,1.0,player,ai
4,14,player,1.0,player,ai
4,15,ai,1.0,player,ai
4,16,player,1.0,player,ai
4,17,ai,1.0,player,ai
4,18,player,1.0,player,ai
4,19,ai,1.0,player,ai
4,20,player,1.0,player,ai
4,21,ai,1.0,player,ai
4,22,player,1.0,player,ai
4,23,ai,1.0,player,ai
4,24,player,1.0,player,ai
4,25,ai,1.0,player,ai
4,26,player,1.0,player,ai
4,27,ai,1.0,player,ai
4,28,player,1.0,player,ai
4,30,ai,1.0,player,ai
4,31,player,1.0,player,ai
4,34,ai,1.0,player,ai
4,35,player,1.0,player,ai
4,36,ai,1.0,player,ai
4,37,player,1.0,player,ai
4,38,ai,1.0,player,ai
4,39,player,1.0,player,ai
5,0,player,1.0,player,ai
5,1,ai,1.0,player,ai
5,2,player,1.0,player,ai
5,3,ai,1.0,player,ai
5,4,player,1.0,player,ai
5,5,ai,1.0,player,ai
5,7,player,1.0,player,ai
5,8,ai,1.0,player,ai
5,9,player,1.0,player,ai
5,10,ai,1.0,player,ai
5,11,player,1.0,player,ai
5,12,ai,1.0,player,ai
5,13,player,1.0,player,ai
5,14,ai,1.0,player,ai
5,15,player,1.0,player,ai
5,17,ai,1.0,player,ai
5,18,player,1.0,player,ai
5,19,ai,1.0,player,ai
5,20,player,1.0,player,ai
5,21,ai,1.0,player,ai
5,22,player,1.0,player,ai
5,23,ai,1.0,player,ai
5,24,player,1.0,player,ai
5,26,ai,1.0,player,ai
5,27,player,1.0,player,ai
5,28,ai,1.0,player,ai
5,29,player,1.0,player,ai
5,30,ai,1.0,player,ai
5,31,player,1.0,player,ai
5,32,ai,1.0,player,ai
5,33,player,1.0,player,ai
5,34,ai,1.0,player,ai
5,35,player,1.0,player,ai
5,36,ai,1.0,player,ai
5,37,player,1.0,player,ai
5,38,ai,1.0,player,ai
5,39,player,1.0,player,ai
5,40,ai,1.0,player,ai
5,41,player,1.0,player,ai
6,0,player,1.0,player,ai
