,count,mean,std,min,25%,50%,75%,max,median
0,10130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10130.0,-0.0011846001974333662,0.034399327502327416,-1.0,0.0,0.0,0.0,0.0,0.0
2,10130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,10130.0,-0.006515301085883514,0.08045800755177493,-1.0,0.0,0.0,0.0,0.0,0.0
4,10130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,10130.0,-0.004540967423494571,0.08986069642739673,-1.0,0.0,0.0,0.0,1.0,0.0
6,10130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,10130.0,-0.0019743336623889436,0.04439178080518737,-1.0,0.0,0.0,0.0,0.0,0.0
8,10130.0,-0.005133267522211254,0.07146622471100719,-1.0,0.0,0.0,0.0,0.0,0.0
9,10130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10130.0,-0.007699901283316881,0.08741491368160251,-1.0,0.0,0.0,0.0,0.0,0.0
11,10130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,10130.0,-0.007502467917077986,0.09290658305987576,-1.0,0.0,0.0,0.0,1.0,0.0
13,10130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,10130.0,-0.0015794669299111549,0.04440758515416201,-1.0,0.0,0.0,0.0,1.0,0.0
15,10130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,10130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,10130.0,-0.0014807502467917078,0.040940889784456175,-1.0,0.0,0.0,0.0,1.0,0.0
18,10130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,10130.0,-0.0029615004935834156,0.06877570242513513,-1.0,0.0,0.0,0.0,1.0,0.0
20,10130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,10130.0,-0.0008884501480750247,0.05877614818684896,-1.0,0.0,0.0,0.0,1.0,0.0
22,10130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,10130.0,0.006219151036525173,0.09866729356428558,-1.0,0.0,0.0,0.0,1.0,0.0
24,10130.0,0.010266535044422508,0.10080742271782556,0.0,0.0,0.0,0.0,1.0,0.0
25,10130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,10130.0,0.00029615004935834154,0.06955219127157283,-1.0,0.0,0.0,0.0,1.0,0.0
27,10130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,10130.0,-0.002171767028627838,0.05789629997275402,-1.0,0.0,0.0,0.0,1.0,0.0
29,10130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,10130.0,0.00019743336623889436,0.05066407180546313,-1.0,0.0,0.0,0.0,1.0,0.0
31,10130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,10130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,10130.0,0.0023692003948667323,0.04861913854531016,0.0,0.0,0.0,0.0,1.0,0.0
34,10130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,10130.0,0.0,0.05961670442369475,-1.0,0.0,0.0,0.0,1.0,0.0
36,10130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,10130.0,-0.0023692003948667323,0.07161117682813041,-1.0,0.0,0.0,0.0,1.0,0.0
38,10130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,10130.0,0.003948667324777887,0.10694237821633384,-1.0,0.0,0.0,0.0,1.0,0.0
40,10130.0,0.010760118460019744,0.1031764953284287,0.0,0.0,0.0,0.0,1.0,0.0
41,10130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,10130.0,0.0012833168805528134,0.04966400770998885,-1.0,0.0,0.0,0.0,1.0,0.0
43,10130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,10130.0,0.004343534057255676,0.06724988911726917,-1.0,0.0,0.0,0.0,1.0,0.0
45,10130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,10130.0,0.005923000987166831,0.076736564554943,0.0,0.0,0.0,0.0,1.0,0.0
47,10130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,10130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,10130.0,0.0034550839091806516,0.0650637968952092,-1.0,0.0,0.0,0.0,1.0,0.0
50,10130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,10130.0,0.003948667324777887,0.07813734759416983,-1.0,0.0,0.0,0.0,1.0,0.0
52,10130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,10130.0,-0.0014807502467917078,0.08717650027528423,-1.0,0.0,0.0,0.0,1.0,0.0
54,10130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,10130.0,0.006416584402764067,0.07985011752659969,0.0,0.0,0.0,0.0,1.0,0.0
56,10130.0,0.0,0.05442235636162607,-1.0,0.0,0.0,0.0,1.0,0.0
57,10130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,10130.0,0.0018756169792694965,0.04326989560733501,0.0,0.0,0.0,0.0,1.0,0.0
